row_label,Number of cases,Percent of total closed
Total number of cases closed before issuance of complaint,31,100.0
Agreement of the parties-informal settlement,14,45.2
Before 10(k) notice,6,19.4
"After 10(k) notice, before opening of 10(k) hearing",8,25.8
"After opening of 10(k) hearing, before issuance of Board decision and determination of dispute",0,0.0
After Board decision and determination of dispute,0,0.0
Compliance with Board decision and determination of dispute,0,0.0
Withdrawal,8,25.8
Before 10(k) notice,6,19.4
"After 10(k) notice, before opening of 10(k) hearing",1,3.2
"After opening of 10(k) hearing, before issuance of Board decision and determination of dispute",0,0.0
After Board decision and determination of dispute,1,3.2
Dismissal,9,29.0
Before 10(k) notice,7,22.6
"After 10(k) notice, before opening of 10(k) hearing",1,3.2
"After opening of 10(k) hearing, before issuance of Board decision and determination of dispute",0,0.0
By Board decision and determination of dispute,1,3.2
