row_label,col_1,col_2
"Total, all..........................................................................................................................",10,138
Certification amended or unit clarified....................................................................................,4,15
Before hearing................................................................................................................,4,3
By Regional Director's decision..........................................................................,4,3
By Board decision................................................................................................,0,0
After hearing..................................................................................................................,0,12
By Regional Director's decision..........................................................................,0,12
By Board decision................................................................................................,0,0
Dismissed................................................................................................................................,0,16
Before hearing................................................................................................................,0,7
By Regional Director's decision..........................................................................,0,7
By Board decision................................................................................................,0,0
After hearing..................................................................................................................,0,9
By Regional Director's decision..........................................................................,0,8
By Board decision................................................................................................,0,1
Withdrawn................................................................................................................................,6,107
Before hearing................................................................................................................,1,105
After hearing..................................................................................................................,5,2
