row_label,Total elections,Number of elections in which representation rights were won by unions / Total,Number of elections in which representation rights were won by unions / AFL-CIO unions,Number of elections in which representation rights were won by unions / Other national unions,Number of elections in which representation rights were won by unions / Other local unions,Number of elections in which no representative was chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes cast for unions / Total,Valid votes cast for unions / AFL-CIO unions,Valid votes cast for unions / Other national unions,Valid votes cast for unions / Other local unions,Total votes for no union,Eligible employees in units choosing no representation
Rhode Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vermont,2,2,2,,,,144,103,103,0,0,0,41,159
New England,18,6,6,0,0,12,917,813,432,425,0,7,381,474
Puerto Rico,2,0,0,0,0,2,19,18,4,0,0,0,14,15
Virgin Islands,2,0,0,0,0,2,23,20,5,1,0,1,4,14
Outlying Areas,4,0,0,0,0,4,42,38,9,1,0,8,29,29
Alaska,3,1,1,0,0,2,240,235,100,100,0,0,135,16
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,39,13,8,1,4,26,4043,3057,1804,1250,159,395,1253,1776
Federated States of Micronesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawaii,5,1,1,0,0,4,106,85,27,24,3,0,58,10
Marshall Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mariana Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oregon,10,4,4,0,0,6,325,276,128,128,0,0,148,162
Republic of Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,16,6,3,1,0,10,2425,1484,448,448,0,0,1036,684
Pacific,73,25,19,2,4,48,7140,5137,2507,1950,162,395,2630,2648
Delaware,2,1,1,0,0,1,256,244,124,124,0,0,120,194
District of Columbia,3,1,1,0,0,2,70,57,29,29,0,0,28,53
Florida,11,8,6,0,1,3,2170,1964,1144,1139,0,5,820,1853
Georgia,1,0,0,0,0,1,68,63,28,28,0,0,35,0
Maryland,9,4,4,0,0,5,230,192,184,184,0,0,175,290
North Carolina,1,0,0,0,0,1,22,11,0,0,0,0,11,0
South Carolina,3,1,1,0,0,2,165,106,38,33,5,0,68,55
Virginia,3,1,1,0,0,2,356,306,216,216,0,0,90,63
West Virginia,8,2,0,2,0,6,495,472,218,0,218,0,254,76
South Atlantic,41,20,18,1,1,21,4370,3783,2120,2101,6,13,1663,3197
