row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12
"3,000 to 9,999....................................................",0,0,0.0,100.0,0,0.0,0,0.0,0,0.0,0,0.0
"Over 9,999..........................................................",388,1,0.0,100.0,0,0.0,0,0.0,0,0.0,1,0.1
,B. Decertification elections (RD),B. Decertification elections (RD),B. Decertification elections (RD),B. Decertification elections (RD),B. Decertification elections (RD),B. Decertification elections (RD),B. Decertification elections (RD),B. Decertification elections (RD),B. Decertification elections (RD),B. Decertification elections (RD),B. Decertification elections (RD),B. Decertification elections (RD)
Total RD elections.....................,28025,385,100.0,,121,100.0,6,100.0,8,100.0,250,100.0
Under 10............................................................,394,59,15.3,15.3,6,5.0,0,0.0,1,12.5,52,20.8
10 to 19..............................................................,1128,74,19.2,34.5,15,12.4,0,0.0,1,12.5,58,23.2
20 to 29..............................................................,1227,52,13.5,48.1,13,10.7,1,16.7,1,12.5,37,14.8
30 to 39..............................................................,1219,35,9.1,57.1,8,6.6,1,16.7,0,0.0,26,10.4
40 to 49..............................................................,1147,26,6.8,63.9,11,9.1,0,0.0,0,0.0,15,6.0
50 to 59..............................................................,1044,20,5.2,69.1,9,7.4,0,0.0,0,0.0,11,4.4
60 to 69..............................................................,1116,17,4.4,73.5,6,5.0,1,16.7,0,0.0,10,4.0
70 to 79..............................................................,903,12,3.1,76.6,9,7.4,0,0.0,0,0.0,3,1.2
80 to 89..............................................................,1005,11,2.9,79.5,4,3.3,1,16.7,0,0.0,6,2.4
90 to 99..............................................................,1032,12,3.1,82.6,4,3.3,0,0.0,3,37.5,5,2.0
100 to 109..........................................................,497,6,1.6,84.2,2,1.7,0,0.0,0,0.0,4,1.6
110 to 119..........................................................,584,5,1.3,85.5,2,1.7,0,0.0,0,0.0,3,1.2
120 to 129..........................................................,444,4,1.0,86.5,3,2.5,0,0.0,0,0.0,1,0.4
130 to 139..........................................................,791,6,1.6,88.1,3,2.5,0,0.0,0,0.0,3,1.2
140 to 149..........................................................,426,3,0.8,88.8,1,0.8,1,16.7,0,0.0,1,0.4
150 to 159..........................................................,305,2,0.5,89.4,2,1.7,0,0.0,0,0.0,0,0.0
160 to 169..........................................................,488,3,0.8,90.1,3,2.5,0,0.0,0,0.0,0,0.0
170 to 199..........................................................,943,5,1.3,91.4,1,0.8,0,0.0,1,12.5,3,1.2
200 to 299..........................................................,3422,15,3.9,95.3,9,7.4,0,0.0,1,12.5,5,2.0
300 to 499..........................................................,4774,14,3.6,99.0,8,6.6,1,16.7,0,0.0,5,2.0
500 to 799..........................................................,0,0,0.0,99.0,0,0.0,0,0.0,0,0.0,0,0.0
800 and Over .....................................................,5136,4,1.0,100.0,2,1.7,0,0.0,0,0.0,2,0.8
