Division and State,All cases,Unfair labor practice cases — All C cases,Unfair labor practice cases — CA,Unfair labor practice cases — CB,Unfair labor practice cases — CC,Unfair labor practice cases — CD,Unfair labor practice cases — CE,Unfair labor practice cases — CG,Unfair labor practice cases — CP,Representation cases — All R cases,Representation cases — RC,Representation cases — RM,Representation cases — RD,Union deauthorization cases — UD,Amendment of certification cases — AC,Unit clarification cases — UC
Wyoming,34,28,20,8,0,0,0,0,0,6,4,0,2,0,0,0
Mountain (aggregate),1469,1303,1001,263,27,3,1,2,6,163,120,4,39,1,0,2
Connecticut,427,368,298,69,1,0,0,0,0,56,44,2,10,0,0,3
Massachusetts,677,604,476,104,18,3,1,0,2,62,50,1,11,0,0,1
New England (aggregate),1353,1166,937,196,25,6,0,0,2,166,133,7,26,5,0,16
California,2955,2588,1836,689,40,5,7,8,3,347,244,15,88,9,1,10
Washington,744,602,452,142,6,2,0,0,0,130,94,5,31,5,0,7
Pacific (aggregate),4434,3813,2792,937,54,11,8,8,3,579,402,27,145,19,2,21
District of Columbia,174,133,93,36,1,0,1,0,2,39,30,2,7,0,0,2
Florida,758,673,523,147,1,0,0,1,0,82,60,1,21,0,1,2
