Action taken,Cases/Amount
I. Applications for fees and expenses filed with the Board under 5 U.S.C. § 504 during this fiscal year:,
A. Number of applications filed:,2
"B. Decisions in EAJA cases ruled on by the Board during this fiscal year (includes ALJ awards adopted by the Board, and settlements):",
Granting fees:,0
Denying fees:,2
"C. Amount of fees and expenses in cases listed in B, above:",
Claimed:,227643
Recovered:,0
II. Petitions for Review of Board Orders denying fees under 5 U.S.C. § 504:,
A. Awards granting fees (includes settlements):,0
B. Awards denying fees:,0
C. Amount of fees and expenses recovered pursuant to court award or settlement (includes recovered in cases in which court finds merit to claim but remands to Board for determination of fee amount):,0
III. Applications for fees and expenses before Circuit Courts of Appeals under 28 U.S.C. § 2412:,
A. Awards granting fees (includes settlements):,0
B. Awards denying fees:,0
C. Amount of fees and expenses recovered:,"$10,000,00"
IV. Applications for fees and expenses before District Courts under 28 U.S.C. § 2412:,
A. Awards granting fees (includes settlements):,0
B. Awards denying fees:,0
C. Amount of fees and expenses recovered:,0
