Status,Total,Identification of filing party / AFL-CIO Unions,Identification of filing party / Other National Unions,Identification of filing party / Other local Unions,Identification of filing party / Individuals,Identification of filing party / Employers
"Pending October 1, 2007",13168,4544,3475,444,4042,663
Received fiscal 2008,25890,7058,6620,761,10251,1200
On docket fiscal 2008,39058,11602,10095,1205,14293,1863
Closed fiscal 2008,26845,7545,6952,744,10413,1191
"Pending September 30, 2008",12213,4057,3143,461,3880,672
"Pending October 1, 2007",12191,4268,3160,387,3793,583
Received fiscal 2008,22497,5990,5312,597,9566,1032
On docket fiscal 2008,34688,10258,8472,984,13359,1615
Closed fiscal 2008,23391,6505,5621,558,9702,1005
"Pending September 30, 2008",11297,3753,2851,426,3657,610
"Pending October 1, 2007",864,251,296,51,220,46
Received fiscal 2008,3158,1007,1277,144,591,139
On docket fiscal 2008,4022,1258,1573,195,811,185
Closed fiscal 2008,3217,979,1296,163,620,159
"Pending September 30, 2008",805,279,277,32,191,26
"Pending October 1, 2007",29,,,,29,
Received fiscal 2008,91,,,,91,
On docket fiscal 2008,120,,,,120,
Closed fiscal 2008,88,,,,88,
"Pending September 30, 2008",32,,,,32,
"Pending October 1, 2007",4,0,4,0,0,0
Received fiscal 2008,14,4,3,7,0,0
On docket fiscal 2008,18,4,7,7,0,0
Closed fiscal 2008,14,3,4,7,0,0
"Pending September 30, 2008",4,1,3,0,0,0
"Pending October 1, 2007",80,25,15,6,0,34
Received fiscal 2008,130,57,28,13,3,29
On docket fiscal 2008,210,82,43,19,3,63
Closed fiscal 2008,135,58,31,16,3,27
"Pending September 30, 2008",75,24,12,3,0,36
