Action taken,Total all,Employer / Total,Employer / Pursuant to — Agreement of parties — Informal settlement,Employer / Pursuant to — Agreement of parties — Formal settlement,Employer / Pursuant to — Recommendation of administrative law judge,Employer / Pursuant to — Order of — Board,Employer / Pursuant to — Order of — Court,Union / Total,Union / Pursuant to — Agreement of parties — Informal settlement,Union / Pursuant to — Agreement of parties — Formal settlement,Union / Pursuant to — Recommendation of administrative law judge,Union / Pursuant to — Order of — Board,Union / Pursuant to — Order of — Court
Notice posted,9385,,,,,,,,,,,,
Recognition of or assistance withdrawn,1624,1391,1115,8,50,93,125,233,203,1,8,6,15
Employer-dominated union disestablished,20,20,18,0,0,2,0,,,,,,
Employees offered reinstatement,6,6,5,0,0,1,0,,,,,,
Employees placed on preferential hiring list,810,810,696,6,15,38,55,,,,,,
Hiring hall rights restored,16,16,14,0,0,1,1,,,,,,
Objections to employment withdrawn,8,,,,,,,8,7,0,0,0,1
Picketing ended,5,,,,,,,5,3,0,0,0,2
Work stoppage ended,43,,,,,,,43,39,1,0,0,3
Collective bargaining begun,2326,2187,2080,5,17,36,48,139,138,0,0,0,1
Backpay distributed,1550,1513,1361,7,25,50,70,37,30,0,0,2,5
"Reimbursement of fees, dues, and fines",155,100,95,0,1,2,2,55,53,0,0,1,1
Other conditions of employment restored,0,0,0,0,0,0,0,0,0,0,0,0,0
Other,0,0,0,0,0,0,0,0,0,0,0,0,0
"Employees offered reinstatement, total",1839,1839,1559,70,20,51,139,,,,,,
  Accepted,1478,1478,1355,15,9,20,79,,,,,,
