Industrial Group,All cases,UNUSED_DETAIL
Crop Production,21,
Animal Production,28,
Forestry and Logging,4,
"Fishing, Hunting and Trapping",5,
Support Activities for Agriculture and Forestry,26,
"Agriculture, Forestry, Fishing, and Hunting",84,
Oil and Gas Extraction,37,
Mining (except Oil and Gas),117,
Support Activities for Mining,25,
"Mining, Quarrying, and Oil and Gas Extraction",179,
Utilities,513,
Construction of Buildings,387,
Heavy and Civil Engineering Construction,201,
Specialty Trade Contractors,1511,
Construction,2099,
Food Manufacturing,750,
Beverage and Tobacco Product Manufacturing,198,
Textile Mills,29,
Textile Product Mills,26,
Apparel Manufacturing,49,
Leather and Allied Product Manufacturing,6,
31-Manufacturing,1058,
Wood Product Manufacturing,74,
Paper Manufacturing,310,
Printing and Related Support Activities,145,
Petroleum and Coal Products Manufacturing,94,
