Method and stage of disposition,Number of cases,Percent of total closed
Total number of cases closed before issuance of complaint,54,100.0
Agreement of the parties-informal settlement,28,51.9
Before 10(k) notice,19,35.2
"After 10(k) notice, before opening of 10(k) hearing",6,11.1
"After opening of 10(k) hearing, before issuance of Board decision and determination of dispute",1,1.9
After Board decision and determination of dispute,2,3.7
Compliance with Board decision and determination of dispute,0,0.0
Withdrawal,21,38.9
Before 10(k) notice,15,27.8
"After 10(k) notice, before opening of 10(k) hearing",4,7.4
"After opening of 10(k) hearing, before issuance of Board decision and determination of dispute",2,3.7
After Board decision and determination of dispute,0,0.0
Dismissal,5,9.3
Before 10(k) notice,5,9.3
"After 10(k) notice, before opening of 10(k) hearing",0,0.0
"After opening of 10(k) hearing, before issuance of Board decision and determination of dispute",0,0.0
By Board decision and determination of dispute,0,0.0
